date,acct,trans,amount
7/1/2024,3,deposit,576.09
7/2/2024,3,withdraw,101.58
7/3/2024,3,deposit,848.12
7/5/2024,1,deposit,276.37
7/8/2024,3,deposit,14.25
7/9/2024,2,deposit,795.74
7/10/2024,4,withdraw,59.73
7/11/2024,4,withdraw,41.89
7/12/2024,3,deposit,74.48
7/15/2024,4,withdraw,978.25
7/16/2024,1,check,3302.5
7/17/2024,4,withdraw,539.98
7/18/2024,3,deposit,903.29
7/19/2024,2,withdraw,293.89
7/22/2024,3,deposit,62.28
7/23/2024,2,deposit,314.97
7/24/2024,4,deposit,893.78
7/25/2024,2,deposit,153.29
7/26/2024,2,deposit,797.75
7/29/2024,1,deposit,342.99
7/30/2024,2,deposit,488.49
7/31/2024,1,check,282.26
